country	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
GDEATHRT_THSP,HR	12.2	12.1	11.9	12.1	12	12	12.9	12.4	12.9	12.9	12.7	: 
GDEATHRT_THSP,HU	13	13	12.9	13.0 b	13	12.8	13.4	13	13.5	13.4	13.3	: 
GDEATHRT_THSP,IE	6.3	6.1	6.2	6.3	6	6.3	6.4	6.4	6.3	6.4 e	6.3 e	: 
GDEATHRT_THSP,IS	6.3	6.4	6.2	6.1	7	6.3	6.6	6.9	6.5	6.4	6.3	: 
GDEATHRT_THSP,IT	10	9.9	10	10.3	10	9.8	10.7	10.1	10.7	10.5	10.5 p	: 
GDEATHRT_THSP,LI	6.4	6.6	6.8	6.1	7	7.2	6.7	7.2	6.6	7.2	6.8 p	: 
GDEATHRT_THSP,LT	13.3	13.6	13.6	13.7	14	13.7	14.4	14.3	14.2	14.1	13.7	: 
GDEATHRT_THSP,LU	7.3	7.4	7.4	7.3 b	7	6.9	7	6.8	7.1 b	7.1	6.9	: 
GDEATHRT_THSP,LV	14	14.3	13.9	14.3	14	14.3	14.4	14.6	14.8	15	14.5	: 
GDEATHRT_THSP,MC	: 	: 	: 	: 	: 	: 	7.6 e	7.9 e	: 	6.6 e	: 	: 
GDEATHRT_THSP,MD	11.8	12.2	11	11.1	11	11.1	11.2	10.8	10.3 p	: 	: 	: 
GDEATHRT_THSP,ME	9.5	9.1 b	9.4	9.5	10	9.7	10.2	10.4	10.5	10.5	10.6	: 
GDEATHRT_THSP,MK	9.3	9.3	9.5	9.8	9	9.5	9.9	9.9	9.8	9.5	9.8 e	: e
GDEATHRT_THSP,MT	7.8	7.3	7.8	8.1	8	7.5	7.7	7.3	7.6	7.6	7.3	: 
GDEATHRT_THSP,NL	8.1	8.2	8.1	8.4	8	8.3	8.7	8.7	8.8	8.9	8.8 p	: 
GDEATHRT_THSP,NO	8.6	8.5	8.4	8.4	8	7.9	7.8	7.8	7.7	7.7	7.6	: 
GDEATHRT_THSP,PL	10.1	9.9 b	9.9	10.1	10	9.9	10.4	10.2	10.6	10.9	10.8	: 
GDEATHRT_THSP,PT	9.9	10	9.7	10.2	10	10.1	10.5	10.7	10.7	11	10.9	: 
GDEATHRT_THSP,RO	12.6	12.8	12.5	12.7	12	12.8	13.2	13.1	13.4	13.6	13.4 p	: 
GDEATHRT_THSP,RS	14.2	14.2	14.2 b	14.2	14	14.2	14.6	14.3	14.8	14.6	14.6	: 
GDEATHRT_THSP,RU	14.2	14.2	13.5	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDEATHRT_THSP,SE	9.7	9.6	9.5	9.7	9	9.2	9.3	9.2	9.1	9.1	8.6	: 
GDEATHRT_THSP,SI	9.2	9.1	9.1	9.4	9	9.2	9.6	9.5	9.9	9.9	9.9	: 
GDEATHRT_THSP,SK	9.8	9.9	9.6	9.7	10	9.5	9.9	9.6	9.9	10	9.8	: 
GDEATHRT_THSP,SM	: 	: 	6.8	7.1	8	7.7	7.1	7.6	8.2	7.1	7.2	: 
GDEATHRT_THSP,TR	5.4	5	5.1	5.4	5	5.1	5.2	5.3	5.3	5.2	5.3	: 
GDEATHRT_THSP,UA	15.4	15.3	14.6	14.6	15	: 	13.9 b	13.7	13.6	14	13.9 e	: 
GDEATHRT_THSP,UK	9	8.9	8.7	8.9	9	8.8	9.2	9.1	9.2	9.2	9.0 p	: 
GDEATHRT_THSP,XK	3.2	3.6 b	4.0 b	4.1 e	3.9 e	4.2 e	4.6 e	4.8 e	4.9 e	5	5.3	: 
